territory,price,price_point_id
AFG,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJBRkciLCJwIjoiMTAyNzcifQ
AGO,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJBR08iLCJwIjoiMTAyNzcifQ
AIA,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJBSUEiLCJwIjoiMTAyNzcifQ
ALB,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJBTEIiLCJwIjoiMTAzMjcifQ
ARE,149.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJBUkUiLCJwIjoiMTAzNDQifQ
ARG,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJBUkciLCJwIjoiMTAyNzcifQ
ARM,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJBUk0iLCJwIjoiMTAzMjcifQ
ATG,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJBVEciLCJwIjoiMTAyNzcifQ
AUS,59.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJBVVMiLCJwIjoiMTAzNjYifQ
AUT,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJBVVQiLCJwIjoiMTAzMDIifQ
AZE,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJBWkUiLCJwIjoiMTAzMjcifQ
BEL,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJCRUwiLCJwIjoiMTAzMDIifQ
BEN,49.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJCRU4iLCJwIjoiMTAzMjcifQ
BFA,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJCRkEiLCJwIjoiMTAyNzcifQ
BGR,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJCR1IiLCJwIjoiMTAzMDIifQ
BHR,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJCSFIiLCJwIjoiMTAyNzcifQ
BHS,39.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJCSFMiLCJwIjoiMTAyNzcifQ
BIH,44.99,eyJzIjoiNjc5NzEwNjM4MiIsInQiOiJCSUgiLCJwIjoiMTAzMDIifQ
