territory,price,price_point_id
AFG,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJBRkciLCJwIjoiMTAyNzcifQ
AGO,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJBR08iLCJwIjoiMTAyNzcifQ
AIA,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJBSUEiLCJwIjoiMTAyNzcifQ
ALB,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJBTEIiLCJwIjoiMTAzMjcifQ
ARE,149.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJBUkUiLCJwIjoiMTAzNDQifQ
ARG,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJBUkciLCJwIjoiMTAyNzcifQ
ARM,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJBUk0iLCJwIjoiMTAzMjcifQ
ATG,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJBVEciLCJwIjoiMTAyNzcifQ
AUS,59.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJBVVMiLCJwIjoiMTAzNjYifQ
AUT,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJBVVQiLCJwIjoiMTAzMDIifQ
AZE,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJBWkUiLCJwIjoiMTAzMjcifQ
BEL,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCRUwiLCJwIjoiMTAzMDIifQ
BEN,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCRU4iLCJwIjoiMTAzMjcifQ
BFA,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCRkEiLCJwIjoiMTAyNzcifQ
BGR,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCR1IiLCJwIjoiMTAzMDIifQ
BHR,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCSFIiLCJwIjoiMTAyNzcifQ
BHS,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCSFMiLCJwIjoiMTAyNzcifQ
BIH,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCSUgiLCJwIjoiMTAzMDIifQ
BLR,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCTFIiLCJwIjoiMTAzMjcifQ
BLZ,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCTFoiLCJwIjoiMTAyNzcifQ
BMU,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCTVUiLCJwIjoiMTAyNzcifQ
BOL,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCT0wiLCJwIjoiMTAyNzcifQ
BRA,249.9,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCUkEiLCJwIjoiMTA0MDEifQ
BRB,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCUkIiLCJwIjoiMTAzMjcifQ
BRN,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCUk4iLCJwIjoiMTAyNzcifQ
BTN,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCVE4iLCJwIjoiMTAyNzcifQ
BWA,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJCV0EiLCJwIjoiMTAyNzcifQ
CAN,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDQU4iLCJwIjoiMTAzMjcifQ
CHE,35.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDSEUiLCJwIjoiMTAyMDgifQ
CHL,49990,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDSEwiLCJwIjoiMTA0MDcifQ
CHN,298.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDSE4iLCJwIjoiMTAzNTcifQ
CIV,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDSVYiLCJwIjoiMTAzMjcifQ
CMR,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDTVIiLCJwIjoiMTAzMjcifQ
COD,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDT0QiLCJwIjoiMTAyNzcifQ
COG,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDT0ciLCJwIjoiMTAyNzcifQ
COL,199900.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDT0wiLCJwIjoiMTAzNzYifQ
CPV,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDUFYiLCJwIjoiMTAyNzcifQ
CRI,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDUkkiLCJwIjoiMTAyNzcifQ
CYM,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDWU0iLCJwIjoiMTAyNzcifQ
CYP,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDWVAiLCJwIjoiMTAzMDIifQ
CZE,999.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJDWkUiLCJwIjoiMTAyOTAifQ
DEU,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJERVUiLCJwIjoiMTAzMDIifQ
DMA,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJETUEiLCJwIjoiMTAyNzcifQ
DNK,349.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJETksiLCJwIjoiMTAxNzIifQ
