territory,price,price_point_id
AFG,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJBRkciLCJwIjoiMTAwNzUifQ
AGO,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJBR08iLCJwIjoiMTAwNzUifQ
AIA,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJBSUEiLCJwIjoiMTAwNzUifQ
ALB,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJBTEIiLCJwIjoiMTAwODgifQ
ARE,22.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJBUkUiLCJwIjoiMTAwNzYifQ
ARG,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJBUkciLCJwIjoiMTAwNzUifQ
ARM,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJBUk0iLCJwIjoiMTAwODgifQ
ATG,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJBVEciLCJwIjoiMTAwNzUifQ
AUS,9.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJBVVMiLCJwIjoiMTAxMjYifQ
AUT,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJBVVQiLCJwIjoiMTAwODgifQ
AZE,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJBWkUiLCJwIjoiMTAwODgifQ
BEL,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCRUwiLCJwIjoiMTAwODgifQ
BEN,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCRU4iLCJwIjoiMTAwODgifQ
BFA,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCRkEiLCJwIjoiMTAwNzUifQ
BGR,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCR1IiLCJwIjoiMTAwODgifQ
BHR,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCSFIiLCJwIjoiMTAwODgifQ
BHS,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCSFMiLCJwIjoiMTAwODgifQ
BIH,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCSUgiLCJwIjoiMTAwODgifQ
BLR,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCTFIiLCJwIjoiMTAwODgifQ
BLZ,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCTFoiLCJwIjoiMTAwNzUifQ
BMU,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCTVUiLCJwIjoiMTAwNzUifQ
BOL,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCT0wiLCJwIjoiMTAwNzUifQ
BRA,39.9,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCUkEiLCJwIjoiMTAxNTcifQ
BRB,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCUkIiLCJwIjoiMTAwODgifQ
BRN,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCUk4iLCJwIjoiMTAwNzUifQ
BTN,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCVE4iLCJwIjoiMTAwNzUifQ
BWA,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJCV0EiLCJwIjoiMTAwNzUifQ
