territory,price,price_point_id
AFG,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJBRkciLCJwIjoiMTAwNDkifQ
AGO,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJBR08iLCJwIjoiMTAwNDkifQ
AIA,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJBSUEiLCJwIjoiMTAwNDkifQ
ALB,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJBTEIiLCJwIjoiMTAwNjIifQ
ARE,14.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJBUkUiLCJwIjoiMTAwNDkifQ
ARG,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJBUkciLCJwIjoiMTAwNDkifQ
ARM,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJBUk0iLCJwIjoiMTAwNjIifQ
ATG,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJBVEciLCJwIjoiMTAwNDkifQ
AUS,5.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJBVVMiLCJwIjoiMTAwNzQifQ
AUT,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJBVVQiLCJwIjoiMTAwNDkifQ
AZE,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJBWkUiLCJwIjoiMTAwNjIifQ
BEL,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJCRUwiLCJwIjoiMTAwNDkifQ
BEN,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJCRU4iLCJwIjoiMTAwNjIifQ
BFA,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJCRkEiLCJwIjoiMTAwNDkifQ
BGR,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJCR1IiLCJwIjoiMTAwNDkifQ
BHR,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJCSFIiLCJwIjoiMTAwNDkifQ
BHS,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJCSFMiLCJwIjoiMTAwNDkifQ
BIH,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJCSUgiLCJwIjoiMTAwNDkifQ
BLR,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJCTFIiLCJwIjoiMTAwNjIifQ
BLZ,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJCTFoiLCJwIjoiMTAwNDkifQ
